,Unnamed: 0_x,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Unnamed: 0_y,mean_duration,mean_distance,predicted_fare,tip_percent,generous,day,am_rush,daytime,pm_rush,nighttime,month
23,54636365,1,2017-06-27 00:08:22,2017-06-27 00:13:45,1,1.7,1,N,162,263,1,7.0,0.5,0.5,2.05,0.0,0.3,10.35,23,8.994444444444445,1.8766666666666667,9.356568529417348,0.247,1,tuesday,0,0,0,1,jun
24,10565287,1,2017-02-13 10:29:33,2017-02-13 10:34:11,1,0.9,1,N,237,237,1,5.5,0.0,0.5,1.25,0.0,0.3,7.55,24,4.660763888888889,0.6016666666666667,5.606349875076465,0.198,0,monday,0,1,0,0,feb
25,111209513,2,2017-01-14 19:58:42,2017-01-14 20:05:59,1,1.72,1,N,43,141,1,8.0,0.5,0.5,2.79,0.0,0.3,12.09,25,10.897916666666667,1.365,8.758318340764953,0.3,1,saturday,0,0,1,0,jan
26,93194366,1,2017-11-04 01:27:59,2017-11-04 01:44:05,1,2.7,1,N,50,263,1,13.0,0.5,0.5,2.85,0.0,0.3,17.15,26,16.925,3.1500000000000004,14.107244593854755,0.199,0,saturday,0,0,0,1,nov
28,99074251,1,2017-11-22 10:24:17,2017-11-22 10:38:52,1,2.3,1,N,162,113,1,11.0,0.0,0.5,2.35,0.0,0.3,14.15,28,13.945833333333333,2.15,11.28304965432681,0.199,0,wednesday,0,1,0,0,nov
29,94052446,2,2017-11-06 20:30:50,2017-11-07 00:00:00,1,30.83,1,N,132,23,1,80.0,0.5,0.5,18.56,11.52,0.3,111.38,29,88.78333333333333,30.83,89.21162429520369,0.2,1,monday,0,0,0,1,nov
30,67540161,1,2017-08-09 21:01:50,2017-08-09 21:14:28,1,2.3,1,N,163,234,1,10.5,0.5,0.5,1.77,0.0,0.3,13.57,30,14.282407407407408,2.1277777777777778,11.332692830987773,0.15,0,wednesday,0,0,0,1,aug
33,90465096,1,2017-10-26 19:43:07,2017-10-26 20:06:02,1,2.9,1,N,230,238,1,15.5,1.0,0.5,3.45,0.0,0.3,20.75,33,14.447435897435897,2.6923076923076925,12.503742413643144,0.199,0,thursday,0,0,1,0,oct
34,18173620,1,2017-03-04 18:19:04,2017-03-04 18:32:13,1,1.7,1,N,236,161,1,10.5,0.0,0.5,1.7,0.0,0.3,13.0,34,17.365555555555556,1.9633333333333332,11.865401121693695,0.15,0,saturday,0,0,1,0,mar
37,14373799,2,2017-02-23 08:04:57,2017-02-23 08:18:48,1,2.11,1,N,140,161,1,11.5,0.0,0.5,2.46,0.0,0.3,14.76,37,14.058333333333334,1.8414285714285716,10.589721589012507,0.2,1,thursday,1,0,0,0,feb
38,10421657,1,2017-02-12 18:45:41,2017-02-12 18:48:58,4,0.4,1,N,142,143,1,4.0,0.0,0.5,0.72,0.0,0.3,5.52,38,6.178205128205128,0.8415384615384615,6.574034468594304,0.15,0,sunday,0,0,1,0,feb
39,103916069,2,2017-12-08 12:21:55,2017-12-08 12:30:38,1,1.28,1,N,238,166,1,7.5,0.0,0.5,5.0,0.0,0.3,13.3,39,6.333974358974359,1.3384615384615384,7.431774594240838,0.602,1,friday,0,1,0,0,dec
40,77743944,2,2017-09-15 19:09:51,2017-09-15 19:23:06,3,1.23,1,N,90,79,1,9.5,1.0,0.5,2.26,0.0,0.3,13.56,40,13.119607843137254,1.474705882352941,9.641077698125152,0.2,1,friday,0,0,1,0,sep
41,15086430,1,2017-02-25 07:41:32,2017-02-25 07:50:26,1,2.0,1,N,170,113,1,9.0,0.0,0.5,1.95,0.0,0.3,11.75,41,11.068888888888887,1.7333333333333334,9.64984842298708,0.199,0,saturday,1,0,0,0,feb
42,103823476,2,2017-12-08 07:59:11,2017-12-08 08:15:32,1,4.52,1,N,116,239,1,16.5,0.0,0.5,2.0,0.0,0.3,19.3,42,16.35,4.52,16.567113035675874,0.116,0,friday,1,0,0,0,dec
43,34535675,2,2017-04-26 11:18:27,2017-04-26 11:24:59,2,1.12,1,N,234,211,1,6.5,0.0,0.5,1.82,0.0,0.3,9.12,43,8.868055555555555,1.455,8.393263070351985,0.249,1,wednesday,0,1,0,0,apr
44,11969477,2,2017-02-15 17:30:24,2017-02-15 17:35:24,1,0.59,1,N,249,113,1,5.0,1.0,0.5,1.36,0.0,0.3,8.16,44,6.185714285714286,0.6521428571428572,6.022703930681445,0.2,1,wednesday,0,0,1,0,feb
45,68798000,1,2017-08-14 17:15:32,2017-08-14 17:25:28,1,1.5,1,N,239,230,1,8.5,1.0,0.5,2.55,0.0,0.3,12.85,45,12.711764705882352,1.9735294117647055,10.586987957763814,0.248,1,monday,0,0,1,0,aug
47,3377025,2,2017-01-13 02:37:24,2017-01-13 03:17:34,4,8.69,1,N,246,231,1,31.5,0.5,0.5,6.56,0.0,0.3,39.36,47,17.86190476190476,3.665714285714286,15.352815633878448,0.2,1,friday,0,0,0,1,jan
49,34839590,2,2017-04-27 07:26:57,2017-04-27 07:28:21,1,0.42,1,N,234,107,1,3.5,0.0,0.5,0.86,0.0,0.3,5.16,49,5.390384615384615,0.6303846153846154,5.757391715597563,0.2,1,thursday,1,0,0,0,apr
53,25497357,2,2017-03-28 19:10:03,2017-03-28 19:13:20,1,0.8,1,N,151,239,1,4.5,1.0,0.5,1.26,0.0,0.3,7.56,53,6.517901234567902,1.1355555555555557,7.078751993372955,0.2,1,tuesday,0,0,1,0,mar
55,69719738,2,2017-08-17 22:06:12,2017-08-17 22:32:06,1,11.07,1,N,138,97,1,32.5,0.5,0.5,6.76,0.0,0.3,40.56,55,29.706666666666667,11.11,33.42710476860991,0.2,1,thursday,0,0,0,1,aug
56,9517173,1,2017-02-10 11:47:00,2017-02-10 12:09:43,1,2.7,1,N,238,161,1,15.5,0.0,0.5,4.05,0.0,0.3,20.35,56,19.555,2.93,14.402781873983988,0.248,1,friday,0,1,0,0,feb
57,19282330,2,2017-03-07 20:19:42,2017-03-07 20:29:08,2,2.51,1,N,229,146,1,10.0,0.5,0.5,3.39,0.0,0.3,14.69,57,9.408333333333331,2.46,10.546802075579656,0.3,1,tuesday,0,0,0,1,mar
59,17520716,2,2017-03-03 08:02:59,2017-03-03 08:05:43,1,0.85,1,N,164,170,1,4.5,0.0,0.5,1.59,0.0,0.3,6.89,59,5.559459459459459,0.6018918918918919,5.747795082242245,0.3,1,friday,1,0,0,0,mar
60,34663272,2,2017-04-26 18:08:41,2017-04-26 18:11:08,5,0.38,1,N,236,236,1,4.0,1.0,0.5,1.16,0.0,0.3,6.96,60,4.19469696969697,0.5816363636363636,5.414827745634132,0.2,1,wednesday,0,0,1,0,apr
61,32842627,2,2017-04-21 15:08:21,2017-04-21 15:18:09,1,1.15,1,N,163,100,1,8.0,0.0,0.5,1.76,0.0,0.3,10.56,61,10.54047619047619,1.181904761904762,8.29369537759479,0.2,1,friday,0,1,0,0,apr
64,21974063,1,2017-03-17 09:17:05,2017-03-17 09:21:34,1,0.7,1,N,237,236,1,5.0,0.0,0.5,1.15,0.0,0.3,6.95,64,6.557258064516129,1.0374193548387096,7.00397178793284,0.198,0,friday,1,0,0,0,mar
66,105212199,2,2017-12-12 11:12:23,2017-12-12 12:01:01,1,3.1,1,N,186,263,1,28.0,0.0,0.5,5.76,0.0,0.3,34.56,66,28.93,3.776,18.595166471210653,0.2,1,tuesday,0,1,0,0,dec
67,74143232,2,2017-09-03 23:15:56,2017-09-03 23:31:25,2,2.96,1,N,161,148,1,13.0,0.5,0.5,2.86,0.0,0.3,17.16,67,21.445238095238096,3.4442857142857144,15.867421630131178,0.2,1,sunday,0,0,0,1,sep
68,105476838,1,2017-12-13 07:06:10,2017-12-13 07:11:40,1,0.8,1,N,142,230,1,5.5,0.0,0.5,1.0,0.0,0.3,7.3,68,8.531818181818181,1.051212121212121,7.5824978643073955,0.159,0,wednesday,1,0,0,0,dec
72,68455717,2,2017-08-13 03:50:10,2017-08-13 03:53:43,2,0.95,1,N,68,246,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3,72,6.705555555555556,0.8908333333333334,6.665503639583831,0.159,0,sunday,0,0,0,1,aug
73,34401650,2,2017-04-25 22:20:43,2017-04-25 22:25:28,4,1.02,1,N,166,24,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76,73,4.283333333333333,0.86,5.972221056873326,0.2,1,tuesday,0,0,0,1,apr
74,36762559,2,2017-05-01 09:42:27,2017-05-01 09:47:29,1,0.78,1,N,13,231,1,5.0,0.0,0.5,1.0,0.0,0.3,6.8,74,6.284722222222222,0.9583333333333334,6.66051038195438,0.172,0,monday,1,0,0,0,may
75,48053276,2,2017-06-03 18:55:02,2017-06-03 19:03:22,6,1.16,1,N,234,230,1,7.0,0.0,0.5,1.95,0.0,0.3,9.75,75,15.05595238095238,1.799642857142857,10.895183378434243,0.25,1,saturday,0,0,1,0,jun
76,30892521,1,2017-04-16 02:43:35,2017-04-16 03:04:48,3,4.3,1,N,249,255,1,17.5,0.5,0.5,2.22,0.0,0.3,21.02,76,24.8,4.576666666666667,19.192110284752022,0.118,0,sunday,0,0,0,1,apr
77,15158530,1,2017-02-25 13:04:27,2017-02-25 13:15:41,1,1.9,1,N,107,161,1,9.5,0.0,0.5,2.55,0.0,0.3,12.85,77,12.618055555555555,1.7091666666666667,10.03401453375142,0.248,1,saturday,0,1,0,0,feb
78,22166926,2,2017-03-17 22:00:41,2017-03-17 22:22:57,2,11.2,1,N,138,180,1,31.5,0.5,0.5,6.56,0.0,0.3,39.36,78,22.266666666666666,11.2,31.552243787846106,0.2,1,friday,0,0,0,1,mar
80,97134848,2,2017-11-16 09:31:00,2017-11-16 09:43:17,2,1.02,1,N,48,161,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16,80,11.678518518518516,0.975777777777778,8.222584082744191,0.2,1,thursday,1,0,0,0,nov
81,90957858,2,2017-10-28 04:16:54,2017-10-28 04:33:06,3,5.11,1,N,79,74,1,16.5,0.5,0.5,5.34,0.0,0.3,23.14,81,19.97083333333333,5.8225,20.217330494397533,0.3,1,saturday,0,0,0,1,oct
83,79283387,2,2017-09-20 23:46:44,2017-09-20 23:54:08,1,1.9,1,N,249,164,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16,83,9.793055555555556,1.6966666666666663,9.110930395034815,0.2,1,wednesday,0,0,0,1,sep
84,64344057,1,2017-07-29 13:27:34,2017-07-29 13:36:28,1,1.6,1,N,249,186,1,8.0,0.0,0.5,1.0,0.0,0.3,9.8,84,9.417460317460318,1.3214285714285714,8.368141033207113,0.114,0,saturday,0,1,0,0,jul
86,81447972,1,2017-09-28 07:17:44,2017-09-28 07:21:35,1,0.9,1,N,237,162,1,5.0,0.0,0.5,1.0,0.0,0.3,6.8,86,8.184126984126985,1.0392063492063492,7.461542693407435,0.172,0,thursday,1,0,0,0,sep
87,69751803,2,2017-08-18 01:17:32,2017-08-18 01:34:48,1,4.96,1,N,114,257,1,17.0,0.5,0.5,3.66,0.0,0.3,21.96,87,17.266666666666666,4.96,17.699758844855513,0.2,1,friday,0,0,0,1,aug
88,16215929,1,2017-02-28 18:02:05,2017-02-28 18:13:30,1,4.9,1,N,87,170,1,16.0,1.0,0.5,5.3,0.0,0.3,23.1,88,20.589583333333334,4.92,18.65717443402539,0.298,1,tuesday,0,0,1,0,feb
91,60107150,2,2017-07-15 00:28:27,2017-07-15 00:37:09,2,1.62,1,N,125,87,1,8.0,0.5,0.5,1.0,0.0,0.3,10.3,91,12.104166666666666,2.0875,10.556809463925564,0.108,0,saturday,0,0,0,1,jul
92,87475909,1,2017-10-17 14:29:39,2017-10-17 15:00:14,1,13.8,1,N,138,51,1,39.0,0.0,0.5,9.1,5.76,0.3,54.66,92,30.58333333333333,13.8,39.14218978228781,0.2,1,tuesday,0,1,0,0,oct
93,10038766,1,2017-02-11 19:09:12,2017-02-11 19:32:20,1,1.7,1,N,249,107,1,14.5,0.0,0.5,1.0,0.0,0.3,16.3,93,11.526923076923076,1.3761538461538465,9.06588464326981,0.065,0,saturday,0,0,1,0,feb
94,53636202,2,2017-06-23 19:53:53,2017-06-23 20:00:57,2,0.88,1,N,170,234,1,6.5,1.0,0.5,0.5,0.0,0.3,8.8,94,7.7081081081081075,1.0116216216216216,7.185992540381394,0.06,0,friday,0,0,1,0,jun
95,20414683,2,2017-03-26 20:06:55,2017-03-26 20:14:43,1,1.46,1,N,186,233,1,7.0,0.5,0.5,1.24,0.0,0.3,9.54,95,14.825,1.5607142857142855,10.244267618175408,0.149,0,sunday,0,0,0,1,mar
96,63683638,2,2017-07-27 10:10:04,2017-07-27 10:23:13,1,1.66,1,N,163,100,1,10.0,0.0,0.5,1.2,0.0,0.3,12.0,96,10.54047619047619,1.181904761904762,8.29369537759479,0.111,0,thursday,0,1,0,0,jul
97,105056260,2,2017-12-11 20:04:27,2017-12-11 20:16:10,1,1.63,1,N,161,234,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96,97,11.185648148148148,1.4741666666666666,9.056162790442288,0.2,1,monday,0,0,0,1,dec
98,97913057,1,2017-11-18 13:04:54,2017-11-18 13:39:53,1,10.0,1,N,230,138,1,34.5,0.0,0.5,7.05,0.0,0.3,42.35,98,38.91568627450981,10.82,35.528953237005155,0.2,1,saturday,0,1,0,0,nov
100,11538055,2,2017-02-07 08:56:08,2017-02-07 09:07:32,1,0.72,1,N,211,231,1,8.0,0.0,0.5,0.0,0.0,0.3,8.8,100,9.70185185185185,1.1422222222222222,7.980581395014043,0.0,0,tuesday,1,0,0,0,feb
101,26548374,2,2017-03-31 20:18:22,2017-03-31 20:50:17,3,9.67,1,N,138,232,1,31.0,0.5,0.5,8.08,0.0,0.3,40.38,101,30.950000000000003,11.485,34.56551219985633,0.25,1,friday,0,0,0,1,mar
102,44715204,1,2017-05-24 20:46:11,2017-05-24 21:02:29,1,2.3,1,N,161,246,1,12.5,0.5,0.5,2.75,0.0,0.3,16.55,102,19.952631578947365,1.8784210526315788,12.418162409814556,0.199,0,wednesday,0,0,0,1,may
103,12031574,1,2017-02-15 20:16:09,2017-02-15 20:39:44,1,4.7,1,N,256,181,1,18.5,0.5,0.5,3.0,0.0,0.3,22.8,103,23.58333333333333,4.7,19.05422330903585,0.152,0,wednesday,0,0,0,1,feb
110,47959795,1,2017-06-03 14:24:57,2017-06-03 15:31:48,1,18.0,2,N,132,163,1,52.0,0.0,0.5,0.0,0.0,0.3,52.8,110,52.94166666666666,19.229,52.0,0.0,0,saturday,0,1,0,0,jun
111,97525570,2,2017-11-17 12:01:00,2017-11-17 12:24:22,6,6.25,1,N,231,107,1,22.5,0.0,0.5,4.66,0.0,0.3,27.96,111,19.477777777777774,3.943333333333333,16.401126845484317,0.2,1,friday,0,1,0,0,nov
113,26670402,2,2017-04-01 02:56:51,2017-04-01 03:00:35,6,0.63,1,N,255,255,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96,113,3.9309523809523808,0.5428571428571428,5.286010828751993,0.2,1,saturday,0,0,0,1,apr
114,88901446,1,2017-10-21 19:27:11,2017-10-21 19:34:31,2,1.3,1,N,75,74,1,7.0,0.0,0.5,0.0,0.0,0.3,7.8,114,4.945555555555556,1.1286666666666667,6.758097546247804,0.0,0,saturday,0,0,1,0,oct
115,110361673,2,2017-12-29 17:22:05,2017-12-29 17:32:05,6,3.22,1,N,138,223,1,11.5,1.0,0.5,3.32,0.0,0.3,16.62,115,11.166666666666666,3.0500000000000003,12.301513212457923,0.25,1,friday,0,0,1,0,dec
116,81142873,2,2017-09-27 09:10:06,2017-09-27 09:16:56,2,1.09,1,N,74,41,1,6.5,0.0,0.5,1.0,0.0,0.3,8.3,116,6.277777777777778,0.8999999999999999,6.564391165522351,0.137,0,wednesday,1,0,0,0,sep
118,86756559,1,2017-10-15 01:04:26,2017-10-15 01:09:50,1,1.1,1,N,158,125,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15,118,6.5621212121212125,1.1063636363636364,7.142721099614274,0.199,0,sunday,0,0,0,1,oct
119,53595206,2,2017-06-23 17:55:36,2017-06-23 18:29:34,1,2.73,1,N,237,246,1,20.5,1.0,0.5,4.46,0.0,0.3,26.76,119,25.67,3.012,16.162900231394634,0.2,1,friday,0,0,1,0,jun
121,18128086,2,2017-03-04 16:40:16,2017-03-04 16:56:11,5,2.85,1,N,164,236,1,12.5,0.0,0.5,1.0,0.0,0.3,14.3,121,12.81,2.964,12.566671500355124,0.075,0,saturday,0,0,1,0,mar
123,28844177,2,2017-04-07 13:53:14,2017-04-07 13:59:27,2,0.83,1,N,230,163,1,6.0,0.0,0.5,0.7,0.0,0.3,7.5,123,7.188271604938272,0.9114814814814814,6.841362678161745,0.103,0,friday,0,1,0,0,apr
124,108611319,1,2017-12-22 11:49:37,2017-12-22 12:21:07,1,4.2,1,N,262,186,1,22.0,0.0,0.5,4.56,0.0,0.3,27.36,124,21.194444444444443,4.068333333333333,17.128771613619037,0.2,1,friday,0,1,0,0,dec
126,103389639,1,2017-12-06 22:49:28,2017-12-06 22:53:36,1,0.5,1,N,161,230,1,4.5,0.5,0.5,2.0,0.0,0.3,7.8,126,10.688425925925928,0.8602777777777777,7.803847757025463,0.345,1,wednesday,0,0,0,1,dec
127,40519150,2,2017-05-19 08:05:49,2017-05-19 08:20:09,1,1.71,1,N,229,263,1,10.5,0.0,0.5,2.26,0.0,0.3,13.56,127,9.44313725490196,1.761764705882353,9.143006171529574,0.2,1,friday,1,0,0,0,may
130,22567251,1,2017-03-18 23:23:48,2017-03-18 23:43:44,2,4.1,1,N,48,232,1,17.5,0.5,0.5,3.75,0.0,0.3,22.55,130,17.233333333333334,3.9,15.709956399372905,0.199,0,saturday,0,0,0,1,mar
131,105298274,2,2017-12-12 16:50:38,2017-12-12 16:56:27,1,1.08,1,N,142,238,1,6.0,1.0,0.5,1.17,0.0,0.3,8.97,131,7.65625,1.44875,8.020564460666519,0.15,0,tuesday,0,0,1,0,dec
134,61164590,2,2017-07-18 19:11:53,2017-07-18 19:23:35,1,0.95,1,N,68,161,1,8.5,1.0,0.5,2.0,0.0,0.3,12.3,134,12.910526315789474,1.7326315789473683,10.052592824257616,0.194,0,tuesday,0,0,1,0,jul
135,90236,2,2017-01-08 02:59:32,2017-01-08 03:04:25,1,1.71,1,N,263,74,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8,135,6.292156862745098,1.8305882352941176,8.400814612219044,0.128,0,sunday,0,0,0,1,jan
138,60784846,2,2017-07-17 14:20:31,2017-07-17 14:24:40,1,0.67,1,N,236,236,1,4.5,0.0,0.5,1.06,0.0,0.3,6.36,138,4.19469696969697,0.5816363636363636,5.326566041625259,0.2,1,monday,0,1,0,0,jul
139,69418623,1,2017-08-16 21:37:16,2017-08-16 21:42:40,2,1.1,1,N,50,239,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,139,6.785714285714286,1.5571428571428572,8.125497340955231,0.199,0,wednesday,0,0,0,1,aug
141,87700308,1,2017-10-18 07:42:38,2017-10-18 07:49:21,1,1.4,1,N,144,107,1,6.5,0.0,0.5,1.45,0.0,0.3,8.75,141,7.416666666666667,1.33875,7.844298336490379,0.199,0,wednesday,1,0,0,0,oct
144,105225388,2,2017-12-12 12:32:11,2017-12-12 12:35:27,1,0.55,1,N,237,237,1,4.0,0.0,0.5,1.2,0.0,0.3,6.0,144,4.660763888888889,0.6016666666666667,5.496547571159264,0.25,1,tuesday,0,1,0,0,dec
146,30302498,2,2017-04-14 12:49:44,2017-04-14 12:58:24,1,1.39,1,N,262,140,1,8.0,0.0,0.5,2.2,0.0,0.3,11.0,146,5.692028985507246,0.8865217391304349,6.352001537073619,0.25,1,friday,0,1,0,0,apr
149,21421694,1,2017-03-15 15:42:07,2017-03-15 15:46:27,1,0.5,1,N,236,263,1,4.5,0.0,0.5,1.05,0.0,0.3,6.35,149,5.309444444444444,0.714,6.011234799036295,0.198,0,wednesday,0,1,0,0,mar
150,40625329,2,2017-05-19 14:10:22,2017-05-19 14:28:56,1,1.57,1,N,234,170,1,12.5,0.0,0.5,2.66,0.0,0.3,15.96,150,9.357051282051282,1.0263461538461538,7.65344019851775,0.2,1,friday,0,1,0,0,may
151,77799198,2,2017-09-15 22:13:28,2017-09-15 22:15:57,2,1.03,1,N,239,142,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,151,5.764550264550265,0.8944444444444445,6.410093819018478,0.2,1,friday,0,0,0,1,sep
154,100891894,1,2017-11-29 11:13:29,2017-11-29 11:47:12,1,2.8,1,N,238,162,1,20.5,0.0,0.5,3.2,0.0,0.3,24.5,154,23.9375,2.825833333333333,15.418221413027648,0.15,0,wednesday,0,1,0,0,nov
155,2192249,2,2017-01-22 00:35:47,2017-01-22 01:05:47,2,6.14,1,N,234,17,1,24.5,0.5,0.5,0.0,0.0,0.3,25.8,155,36.36111111111112,6.013333333333333,25.14958722820892,0.0,0,sunday,0,0,0,1,jan
156,104881101,1,2017-12-11 10:21:18,2017-12-11 11:14:57,1,15.6,1,N,138,88,1,51.5,0.0,0.5,11.6,5.76,0.3,69.66,156,64.31666666666666,15.393333333333333,51.73133465340371,0.2,1,monday,0,1,0,0,dec
157,89734054,1,2017-10-24 15:21:41,2017-10-24 15:39:40,1,1.5,1,N,164,249,1,12.5,0.0,0.5,3.95,0.0,0.3,17.25,157,11.838333333333331,1.7025,9.80313237291163,0.297,1,tuesday,0,1,0,0,oct
158,102736483,1,2017-12-04 23:16:21,2017-12-04 23:37:01,1,7.0,1,N,68,42,1,23.0,0.5,0.5,3.0,0.0,0.3,27.3,158,27.508333333333333,6.2,23.138771581649635,0.123,0,monday,0,0,0,1,dec
159,33008628,1,2017-04-21 23:15:54,2017-04-21 23:27:41,1,2.6,1,N,263,142,1,11.0,0.5,0.5,3.0,0.0,0.3,15.3,159,17.847916666666666,2.53375,13.136739735145817,0.244,1,friday,0,0,0,1,apr
160,36249376,1,2017-04-29 13:29:04,2017-04-29 13:48:15,1,3.1,1,N,236,107,1,15.0,0.0,0.5,1.0,0.0,0.3,16.8,160,23.09,3.514,16.553088299866843,0.063,0,saturday,0,1,0,0,apr
162,36112655,1,2017-04-12 20:13:55,2017-04-12 20:30:59,1,2.1,1,N,234,237,1,12.0,0.5,0.5,2.65,0.0,0.3,15.95,162,17.864583333333332,2.38375,12.842470917246835,0.199,0,wednesday,0,0,0,1,apr
164,55595577,2,2017-06-07 07:55:31,2017-06-07 08:10:37,1,4.67,1,N,87,233,1,17.0,0.0,0.5,3.56,0.0,0.3,21.36,164,17.976666666666667,4.684,17.34788555359192,0.2,1,wednesday,1,0,0,0,jun
